disease,symptoms,precautions,advice,recommended_doctor
Creutzfeldt-Jakob Disease,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Cystic Fibrosis,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cytomegalovirus Infections,,consult a qualified doctor|rest,"Book a consultation with a Hematologist if symptoms persist, worsen, or interfere with daily life.",Hematologist
Degenerative Nerve Diseases,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Diabetic Kidney Problems,,consult a qualified doctor|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Ehlers-Danlos Syndrome,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Elbow Injuries and Disorders,,consult a qualified doctor|rest,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Endocrine Diseases,,consult a qualified doctor|rest,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
Eosinophilic Disorders,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Facial Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Finger Injuries and Disorders,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Foot Injuries and Disorders,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Fungal Infections,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Gallbladder Diseases,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Genetic Brain Disorders,,consult a qualified doctor|rest,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Growth Disorders,,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Gum Disease,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Hand Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Heel Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Hip Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
How to Improve Mental Health,anxiety|depression,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
How to Lower Cholesterol with Diet,weight gain,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Immune System and Disorders,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Infection Control,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Interstitial Lung Diseases,,consult a qualified doctor,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
Jaw Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Kidney Cysts,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Kidney Failure,,consult a qualified doctor|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Leg Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Lipid Metabolism Disorders,,consult a qualified doctor,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Lung Diseases,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Metabolic Disorders,,consult a qualified doctor,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Mitochondrial Diseases,,consult a qualified doctor,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Mouth Disorders,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Nail Diseases,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Neck Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Neurologic Diseases,,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Neuromuscular Disorders,,consult a qualified doctor,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Pancreatic Diseases,,consult a qualified doctor,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Parasitic Diseases,,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Parathyroid Disorders,,consult a qualified doctor,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Peritoneal Disorders,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pituitary Disorders,,consult a qualified doctor,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Platelet Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pleural Disorders,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pneumococcal Infections,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
"Poison Ivy, Oak, and Sumac",rash,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Post-Traumatic Stress Disorder,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Psychotic Disorders,,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
